WaterYear,Days,Energy,Power_max,Power_min,Power_mean,Flow_mean,Flow_min,Flow_max,RiverVolume,EFlowVolume,CanalVolume,EFlowProportion_mean,EFlowProportion_min,EFlowProportion_max,LowFlowShutoffDays,HighHeadShutoffDays,LowHeadShutoffDays,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor,Proportion4Units,Proportion3Units,Proportion2Units,Proportion1Units,Proportion0Units,ShutoffDays,ShutoffDaysProportion,BypassVolume,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy
1992,273,746.8,192.8,26.92,114,949.8,193.5,2371,22.4,3.7,14.8,0.233,0.0625,0.468,0,0,0,0,0,0,0.474,0.3,0.1,0.18,0.17,0,0,0,7.6,0.17,0.66,0.34,33.3
1993,365,726.8,192.8,0,82.97,556.4,147.8,1562,17.5,3.49,13.4,0.272,0.103,0.506,0,9,0,0,0.025,0,0.461,0.21,0.11,0.22,0.46,0,9,0.024657534246575342,4.1,0.2,0.77,0.23,41.5
1994,365,237.8,89.76,0,27.15,225.4,75.35,522.1,7.11,2.87,4.07,0.471,0.205,0.956,80,31,0,0.22,0.085,0,0.151,0,0,0.18,0.61,0.22,111,0.3041095890410959,3.04,0.4,0.57,0.43,33.4
1995,366,320.5,131.1,0,36.49,277.9,64.52,753,8.79,2.87,5.72,0.439,0.144,0.806,80,53,0,0.22,0.15,0,0.203,0,0.11,0.2,0.48,0.22,133,0.3643835616438356,3.07,0.33,0.65,0.35,36.5
1996,365,658.8,192.8,0,75.2,484.5,85.51,1436,15.3,2.99,12,0.292,0.0878,0.608,38,8,0,0.1,0.022,0,0.418,0.19,0.15,0.17,0.39,0.1,46,0.12602739726027398,3.3,0.2,0.78,0.22,43.1
1997,365,672.2,192.8,19.18,76.74,481.8,138.6,1386,15.2,2.98,12.1,0.262,0.0972,0.45,0,0,0,0,0,0,0.426,0.14,0.17,0.19,0.5,0,0,0,3.1,0.2,0.8,0.2,44.2
1998,365,859,192.8,16.71,98.06,901.9,126.5,2833,28.4,4.54,17.5,0.251,0.0762,0.512,0,0,0,0,0,0,0.545,0.36,0.11,0.15,0.38,0,0,0,10.9,0.16,0.62,0.38,30.2
1999,366,721.1,192.8,0,82.09,609.9,182.3,2138,19.3,3.41,13.5,0.258,0.0568,0.492,0,5,0,0,0.014,0,0.457,0.18,0.16,0.21,0.45,0,5,0.0136986301369863,5.8,0.18,0.7,0.3,37.4
2000,365,873.4,192.8,20.24,99.7,1085,164.5,3294,34.2,5.13,18.5,0.246,0.0659,0.512,0,0,0,0,0,0,0.554,0.38,0.13,0.14,0.35,0,0,0,15.7,0.15,0.54,0.46,25.5
2001,365,622.8,164.2,0,71.09,443.4,137.5,997.6,14,3.17,10.8,0.284,0.127,0.524,0,9,0,0,0.025,0,0.395,0.079,0.21,0.26,0.45,0,9,0.024657534246575342,3.2,0.23,0.77,0.23,44.5
