Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,8630,193,142000,25.6,1100,25.4,0.938,1.87,0.48,0.89,0.87,50.3,1
0.01,5230,188,137000,25.6,1100,25.4,0.936,1.87,0.46,0.88,0.79,49.3,0.64
0.02,4600,184,135000,25.6,1100,25.4,0.936,1.87,0.45,0.87,0.76,49.1,0.355
0.03,4120,182,134000,25.5,1100,25.4,0.936,1.87,0.44,0.86,0.73,48.6,0.298
0.04,3830,181,132000,25.5,1100,25.3,0.936,1.87,0.44,0.86,0.71,48.2,0.178
0.05,3490,179,131000,25.5,1100,25.3,0.935,1.87,0.44,0.85,0.682,47.9,0.1
0.06,3310,178,129000,25.5,1100,25.3,0.935,1.87,0.43,0.85,0.67,47.6,0
0.07,3160,177,128000,25.5,1100,25.2,0.935,1.87,0.43,0.85,0.65,47.3,0
0.08,3030,175,126000,25.4,1100,25.2,0.935,1.87,0.428,0.84,0.64,47.1,0
0.09,2940,174,125000,25.4,1100,25.2,0.935,1.87,0.42,0.84,0.63,46.9,0
0.1,2800,173,125000,25.4,1100,25.1,0.934,1.87,0.42,0.83,0.61,46.7,0
0.11,2670,171,124000,25.4,1100,25.1,0.934,1.87,0.41,0.83,0.59,46.4,0
0.12,2590,170,123000,25.3,1100,25.1,0.934,1.87,0.41,0.82,0.58,46.4,0
0.13,2480,168,122000,25.3,1100,25,0.934,1.87,0.41,0.82,0.56,46.2,0
0.14,2360,166,121000,25.3,1100,25,0.934,1.87,0.4,0.81,0.539,46.1,0
0.15,2290,165,120000,25.2,1100,24.9,0.934,1.87,0.4,0.81,0.52,45.9,0
0.16,2210,164,119000,25.2,1100,24.9,0.934,1.87,0.39,0.81,0.5,45.8,0
0.17,2090,163,118000,25.2,1100,24.9,0.933,1.86,0.39,0.8,0.48,45.7,0
0.18,1960,161,116000,25.2,1100,24.9,0.933,1.85,0.39,0.8,0.46,45.6,0
0.19,1850,161,115000,25.1,1100,24.8,0.933,1.83,0.38,0.8,0.46,45.4,0
0.2,1770,158,114000,25.1,1090,24.8,0.933,1.8,0.38,0.79,0.45,45.2,0
0.21,1690,156,114000,25.1,1080,24.8,0.933,1.78,0.37,0.79,0.44,45,0
0.22,1630,154,113000,25.1,1070,24.7,0.933,1.74,0.37,0.78,0.44,44.7,0
0.23,1530,153,111000,25,1070,24.7,0.932,1.71,0.37,0.78,0.44,44.5,0
0.24,1470,151,110000,25,1050,24.7,0.932,1.65,0.36,0.77,0.43,44.3,0
0.25,1390,150,108000,25,1030,24.6,0.932,1.58,0.36,0.77,0.43,44,0
0.26,1330,148,107000,24.9,1000,24.6,0.932,1.51,0.36,0.77,0.43,43.8,0
0.27,1270,146,106000,24.9,982,24.6,0.931,1.46,0.35,0.76,0.42,43.4,0
0.28,1230,145,105000,24.9,961,24.6,0.931,1.41,0.35,0.758,0.42,43.2,0
0.29,1190,144,104000,24.8,941,24.5,0.931,1.35,0.35,0.75,0.42,42.6,0
0.3,1150,142,103000,24.8,915,24.5,0.93,1.31,0.34,0.75,0.41,42.3,0
0.31,1110,141,100000,24.7,901,24.4,0.93,1.26,0.34,0.74,0.41,41.9,0
0.32,1060,139,99100,24.7,875,24.4,0.93,1.2,0.332,0.73,0.41,41.7,0
0.33,1030,137,98000,24.6,841,24.3,0.929,1.12,0.33,0.73,0.41,41.4,0
0.34,987,134,96900,24.6,808,24.3,0.929,1.06,0.32,0.72,0.4,41.1,0
0.35,952,133,95500,24.6,782,24.3,0.928,1.02,0.32,0.71,0.4,41,0
0.36,916,130,93600,24.6,765,24.2,0.928,0.984,0.316,0.71,0.39,40.8,0
0.37,890,126,92100,24.5,740,24.1,0.928,0.946,0.31,0.7,0.39,40.5,0
0.38,854,123,90100,24.4,713,24.1,0.927,0.902,0.3,0.7,0.39,40.3,0
0.39,838,121,87700,24.4,700,24,0.927,0.871,0.29,0.7,0.38,40.1,0
0.4,813,119,86000,24.3,673,24,0.926,0.839,0.29,0.69,0.38,39.9,0
