month,waterMonth,flowMean,flowMedian,flowMin,flowMax,canalFlowMean,canalFlowMedian,canalFlowMin,canalFlowMax,eFlowMean,eFlowMedian,eFlowMin,eFlowMax,spillFlowMean,spillFlowMedian,spillFlowMin,spillFlowMax,grossHeadMean,grossHeadMedian,grossHeadMin,grossHeadMax,netHeadMean,netHeadMedian,netHeadMin,netHeadMax,energyMax,energyMin,energyMean,energyMedian,plantPowerMax,plantPowerMin,plantPowerMean,plantPowerMedian,eFlowProportionMean,generationProportionMean,bypassProportionMean,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactorMean,specificEnergyMean,dischargeMedian,eFlowDischargeMedian,spillDischargeMedian,canalDischargeMedian
10,1,238.7,228.6,116.4,437.1,144.7,131.6,64.38,317.1,93.92,97,52,120,0,0,0,0,25.35,25.4,24.4,25.6,25.11,25.2,24.06,25.4,50950,4318,22770,21850,68.48,5.804,30.61,29.37,0.4,0.6,0.4,0,0.078,0,0.17,35,592.5312,251.424,0,341.1072
11,2,275.9,265.4,153.7,525.8,186.3,170.5,103.7,411.8,89.59,93,50,114,0,0,0,0,25.19,25.2,24,25.6,24.9,24.96,23.53,25.36,63520,15040,29430,27540,88.22,20.89,40.87,38.24,0.33,0.67,0.33,0,0.021,0,0.23,40.9,710.8473599999999,249.0912,0,456.6672
12,3,432.3,402.2,229.5,803.1,331.7,298.4,170.5,677.1,100.6,104,59,126,0,0,0,0,24.48,24.6,22.9,25.4,24.06,24.23,22.04,25.14,101200,28580,52950,48200,136.1,38.41,71.17,64.78,0.24,0.76,0.24,0,0,0,0.4,45.8,1042.5024,269.568,0,773.4528
1,4,719.2,620.6,329.9,1700,569.4,500.6,256.9,1067,118.2,120,73,150,31.56,0,0,641.3,23.29,23.6,20,25,22.57,23.02,18.32,24.67,132500,41770,84890,78060,178.1,56.15,114.1,104.9,0.18,0.8,0.2,0,0,0,0.63,45.8,1662.21504,321.408,0,1340.80704
2,5,1347,987.3,451.8,8630,835,834.5,366.8,1100,138.9,137,85,197,373.2,4.862,0,7333,21.36,22.2,9.14,24.4,20.17,21.1,7.382,23.93,130600,5180,100000,99940,187.6,7.708,147.6,147.6,0.13,0.75,0.25,0,0,0.01,0.82,39.3,2644.38432,366.9408,13.0223808,2235.1248
3,6,2531,2340,588.1,7995,1021,1100,481.1,1100,194.9,185.5,107,315,1315,1039,0,6580,18.2,18.1,9.34,23.8,16.57,16.31,7.559,23.18,139700,0,106600,114700,187.7,0,143.2,154.2,0.096,0.53,0.47,0,0,0.067,0.8,24.1,5660.928,448.7616,2513.5488,2661.12
4,7,2965,2960,758.8,7423,1077,1100,633.8,1100,232.8,217,125,364,1655,1616,0,5959,16.93,16.6,9.71,23.1,15.14,14.74,7.919,22.29,138800,0,101400,103000,192.8,0,140.9,143.1,0.086,0.45,0.55,0,0,0.042,0.78,18.4,7928.064,581.2128,4328.2944,2946.24
5,8,2219,2236,686,5182,1054,1100,539,1100,265.9,276,147,340,899.9,845.8,0,3742,18.63,18.4,12.3,23.4,16.89,16.5,10.43,22.71,142200,44730,117800,120100,191.1,60.12,158.4,161.4,0.13,0.54,0.46,0,0,0.0059,0.88,23.8,5795.712,715.392,2192.3136,2851.2
6,9,1203,1178,326.6,2822,832.9,901,207.6,1100,213.5,210,119,293,156.4,66.77,0,1429,21.59,21.6,17,25,20.35,20.24,15.08,24.64,130400,33040,107300,116300,181.2,45.89,149,161.6,0.2,0.72,0.28,0,0,0,0.83,37,3155.1552,562.464,178.836768,2413.2384
7,10,589.3,543.3,243.9,1321,400,357.3,135.9,953.7,187.3,186,108,256,1.939,0,0,111.8,23.81,24,21.1,25.3,23.3,23.53,19.65,25.11,126200,22530,61170,55870,169.6,30.28,82.22,75.09,0.34,0.67,0.33,0,0,0,0.46,38.9,1408.2335999999998,482.112,0,926.1216
8,11,384.9,370.1,199,676.5,230.7,215.1,106,474.5,154.2,155,93,202,0,0,0,0,24.69,24.8,23.4,25.6,24.36,24.42,22.81,25.38,72920,7666,37100,35030,98.01,10.3,49.86,47.08,0.41,0.6,0.4,0,0.014,0,0.28,35.8,991.27584,415.152,0,576.12384
9,12,287.6,277.5,152.7,490.5,170.9,158.1,80.67,344.5,116.7,118,72,146,0,0,0,0,25.14,25.2,24.2,25.6,24.87,24.92,23.78,25.38,53350,12410,26950,25480,74.1,17.23,37.43,35.39,0.41,0.59,0.41,0,0.019,0,0.21,35.9,743.256,316.0512,0,423.45504
