month,1.00,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.70,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.60,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.00
1,75534,74227,72920,71613,68763,64661,60559,56828,56313,55798,55283,54523,53633,52742,51934,51441,50947,50453,50110,49814,49519,48981,47907,46833,45758,45548,45476,45404,45267,45038,44809,44580,44346,44112,43878,43180,42048,40917,39844,39562,39280,38997,38753,38532,38311,38077,37779,37482,37184,36587,35876,35165,34561,34235,33910,33584,33462,33383,33304,33241,33207,33173,33138,32940,32729,32518,32202,31773,31345,30927,30813,30698,30584,30450,30302,30154,30002,29830,29657,29485,29300,29110,28919,28548,27607,26667,25726,25355,25131,24908,24468,23615,22762,21909,20645,19334,18022,16549,14878,13207,11536
2,119100,118790,118480,118170,117850,117540,117230,116770,114940,113110,111280,110580,110480,110380,109930,108150,106380,104610,104080,103950,103820,103550,102980,102400,101830,101310,100800,100290,99796,99319,98842,98365,96179,93931,91684,90391,89989,89586,89154,88315,87475,86636,85788,84935,84081,83107,81553,79998,78443,77586,76995,76403,75868,75482,75096,74710,74107,73458,72810,72036,71056,70075,69095,68614,68170,67726,67268,66794,66320,65842,65232,64623,64013,63467,62965,62463,61946,61331,60717,60102,59585,59112,58639,57718,55386,53054,50723,49674,48961,48247,47363,46157,44951,43746,41380,38880,36381,32770,27792,22814,17836
3,140150,139280,138410,137530,136620,135660,134700,133840,133790,133730,133680,133650,133640,133630,133610,133540,133470,133400,133270,133100,132940,132830,132830,132830,132830,132650,132430,132210,132010,131830,131650,131470,130720,129950,129190,128460,127760,127060,126410,126360,126310,126270,125970,125520,125070,124590,124010,123440,122860,122630,122540,122450,122210,121610,121000,120390,120090,119850,119610,119270,118770,118270,117770,117090,116390,115690,115230,115010,114790,114560,113800,113050,112300,111850,111620,111390,111170,111030,110900,110760,109310,107280,105250,103500,102630,101760,100890,97269,92928,88588,85555,85006,84456,83907,79554,74763,69972,65565,61632,57699,53766
4,134770,133000,131240,129470,128650,128590,128530,128410,127850,127290,126730,126500,126450,126390,126320,126190,126070,125940,125830,125720,125610,125280,124470,123650,122840,122600,122440,122280,121610,120200,118790,117370,117070,116810,116540,116090,115440,114800,114150,113520,112880,112240,111860,111640,111420,111040,109930,108820,107710,107180,106860,106550,106210,105770,105340,104900,103780,102520,101250,100170,99381,98595,97809,97280,96771,96261,95860,95574,95288,94996,94551,94106,93661,93436,93367,93298,93184,92788,92392,91996,90894,89476,88058,86951,86821,86691,86561,84936,82921,80906,79564,79503,79442,79381,74770,69633,64497,58812,52451,46090,39730
5,134750,134620,134480,134350,134140,133870,133600,133330,133080,132840,132590,132230,131800,131380,130870,130020,129170,128330,127920,127650,127380,126730,125230,123730,122220,122000,121980,121950,121820,121530,121230,120940,120540,120140,119740,119400,119110,118830,118540,118170,117800,117430,117190,117020,116860,116630,116080,115530,114980,114750,114650,114540,114390,114110,113830,113550,113270,112990,112710,112230,111410,110600,109780,109420,109090,108750,108560,108510,108470,108370,106900,105420,103950,102950,102280,101610,101010,100790,100580,100360,99881,99287,98692,98114,97587,97060,96534,95960,95375,94789,93223,89792,86362,82931,79662,76411,73160,66692,56263,45834,35405
6,126910,126860,126810,126770,126580,126280,125980,125710,125690,125670,125650,125530,125360,125190,124970,124600,124220,123840,123520,123220,122920,122700,122670,122640,122620,122460,122280,122110,121930,121760,121600,121430,121200,120970,120740,120510,120280,120050,119840,119800,119770,119730,119500,119160,118820,118430,117830,117230,116640,114580,111980,109370,107180,106070,104970,103870,102400,100860,99321,98242,97920,97598,97277,95447,93505,91563,90305,89777,89250,88673,86699,84725,82751,81211,79978,78745,77296,74500,71703,68907,67897,67691,67485,66791,64559,62328,60096,58361,56754,55148,54093,54084,54075,54067,50691,46928,43164,38077,31360,24644,17927
7,90838,90741,90644,90548,89979,89026,88074,87220,87218,87216,87214,86046,84264,82483,80932,80264,79595,78926,77778,76476,75175,74247,74150,74053,73956,73876,73798,73721,73670,73656,73642,73629,73139,72633,72126,71846,71777,71708,71626,71369,71112,70855,70377,69765,69153,68530,67855,67180,66504,65609,64630,63651,62555,61150,59746,58342,58001,57883,57765,57659,57573,57487,57401,56309,55143,53977,53275,53068,52862,52641,52005,51369,50733,50173,49667,49160,48376,45856,43335,40815,39858,39604,39350,39065,38683,38301,37919,37729,37589,37449,36835,35320,33806,32291,31176,30106,29036,24748,16499,8249.3,0
8,51802,51707,51612,51516,51462,51442,51421,51380,51155,50930,50705,50247,49666,49086,48494,47860,47227,46593,45764,44874,43984,43324,43173,43023,42872,42832,42809,42787,42684,42468,42251,42035,42022,42016,42010,41858,41571,41284,41000,40763,40525,40287,39782,39112,38442,37880,37832,37785,37738,37671,37598,37524,37299,36677,36055,35433,35139,34913,34687,34460,34233,34006,33779,33466,33146,32827,32585,32425,32266,32097,31664,31231,30798,30430,30108,29785,29441,28956,28472,27988,27323,26576,25829,25182,24849,24517,24184,23593,22935,22276,20782,17702,14621,11540,10621,9951.3,9281.5,7753.4,5169,2584.5,0
9,33790,33118,32447,31776,31455,31419,31382,31337,31215,31092,30970,30914,30893,30871,30752,30254,29756,29259,28763,28269,27775,27402,27299,27196,27093,27051,27019,26987,26948,26901,26854,26806,26782,26758,26734,26696,26644,26593,26535,26391,26247,26103,26016,25964,25912,25803,25415,25026,24638,24402,24223,24044,23844,23587,23331,23075,22877,22692,22507,22299,22054,21808,21563,21537,21527,21517,21082,20192,19302,18438,18277,18117,17956,17832,17733,17634,17528,17372,17217,17062,16871,16664,16456,16220,15891,15561,15232,15124,15074,15024,14329,12410,10491,8571.9,8248.3,8108.9,7969.5,6866.6,4577.7,2288.9,0
