month,1.00,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.90,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.80,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.70,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.60,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.30,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0.00
1,113680,111920,110160,108410,104070,97631,91196,85246,83510,81774,80038,79374,79274,79174,78696,76773,74850,72927,72061,71533,71004,70474,69940,69406,68873,68154,67405,66657,66191,66124,66058,65992,65759,65521,65282,64678,63732,62786,61796,60202,58609,57015,56179,55807,55435,55075,54775,54475,54174,53858,53535,53213,52649,51452,50255,49058,48071,47127,46184,45403,44887,44372,43857,43554,43268,42981,42718,42481,42243,42000,41587,41175,40763,40336,39899,39461,39040,38724,38407,38090,37492,36768,36043,35405,35041,34676,34311,34106,33942,33778,33409,32652,31894,31136,28972,26645,24318,22814,22320,21827,21334
2,128490,128280,128070,127870,126780,124980,123190,121550,121260,120970,120680,120420,120170,119930,119530,118570,117610,116650,116390,116350,116310,116270,116250,116230,116210,115810,115350,114900,114520,114250,113980,113710,112010,110250,108490,107160,106240,105320,104450,104380,104310,104240,103600,102620,101640,100810,100720,100630,100540,99807,98825,97843,96928,96190,95452,94715,93767,92776,91785,90948,90362,89776,89190,88561,87929,87297,86805,86463,86121,85773,85283,84792,84302,84013,83867,83721,83129,79752,76376,73000,71273,70289,69305,68447,67981,67516,67051,66696,66371,66045,65471,64424,63378,62331,57957,53200,48442,43471,38237,33003,27769
3,143150,142530,141900,141270,140610,139900,139200,138470,137600,136720,135850,135040,134260,133490,132850,132740,132620,132500,132420,132340,132270,132160,131960,131770,131570,131430,131300,131160,131070,131050,131020,131000,130940,130870,130810,130310,129410,128510,127660,127510,127370,127220,126420,125220,124030,122990,122710,122430,122160,121470,120620,119770,119150,119090,119040,118980,118930,118870,118820,118580,118040,117490,116950,116170,115370,114570,114110,114030,113940,113840,113280,112710,112140,111690,111320,110950,110520,109710,108900,108090,107380,106730,106080,105500,105160,104810,104470,103490,102360,101220,100130,99107,98089,97072,92883,88328,83774,80552,78971,77390,75808
4,133210,132890,132580,132260,132060,131960,131860,131760,131690,131620,131550,131310,131000,130690,130430,130390,130350,130310,129910,129390,128870,128500,128460,128420,128380,126680,124720,122760,121070,119770,118460,117160,116770,116410,116050,115830,115750,115660,115490,114230,112970,111710,110680,109780,108890,108080,107700,107330,106950,106530,106090,105660,105230,104810,104390,103970,103590,103220,102850,102560,102420,102280,102130,102070,102020,101960,101640,101040,100430,99782,98018,96254,94490,93697,93589,93481,93343,93016,92688,92360,90858,88828,86797,85229,85117,85004,84892,84263,83500,82737,82179,82009,81840,81670,80574,79371,78168,76449,74096,71742,69389
5,134740,134300,133860,133430,133220,133200,133180,133130,132740,132360,131970,131830,131810,131800,131660,131050,130450,129840,129650,129600,129550,129500,129470,129440,129400,128100,126590,125080,124170,124100,124030,123960,123680,123400,123110,122950,122900,122850,122770,122390,122000,121620,121180,120710,120250,119810,119500,119190,118880,118700,118580,118450,118350,118290,118230,118170,117670,117070,116470,115980,115650,115320,114990,113670,112260,110860,110020,109790,109560,109340,109110,108880,108650,107880,106730,105570,104550,104360,104160,103970,103220,102230,101240,100370,99878,99389,98899,98432,97972,97512,95747,91502,87257,83013,79447,75961,72474,66422,57213,48004,38795
6,127120,127080,127040,127000,126720,126250,125790,125360,125280,125200,125110,124620,123910,123190,122610,122520,122440,122350,122330,122320,122320,122300,122250,122190,122140,121900,121620,121350,120730,119620,118510,117400,117030,116700,116360,116080,115840,115610,115320,114270,113220,112160,111520,111130,110740,110250,109270,108280,107300,106600,106020,105440,104930,104610,104290,103970,102720,101270,99827,98676,98004,97333,96661,96108,95565,95021,93474,90851,88228,85662,84671,83680,82689,80844,78397,75949,73776,73315,72853,72392,71422,70224,69025,67775,66363,64950,63538,60843,57813,54783,52282,50788,49293,47799,46019,44206,42393,38820,33080,27340,21600
7,89314,88564,87813,87063,85870,84317,82764,81362,81266,81170,81074,80554,79812,79069,78396,77993,77590,77187,76801,76421,76041,75644,75211,74778,74345,73973,73612,73250,72510,71232,69954,68676,68412,68185,67958,67689,67379,67070,66780,66766,66752,66738,66566,66297,66027,65644,64715,63786,62857,62373,62059,61745,61508,61472,61436,61401,61198,60961,60724,60188,59163,58139,57114,56222,55339,54457,53648,52919,52190,51483,51410,51336,51263,49964,47800,45637,43736,43481,43226,42971,42803,42673,42544,42267,41529,40791,40053,38330,36351,34371,32686,31560,30435,29310,29071,28935,28799,25416,18037,10658,3278.5
8,52207,52166,52126,52085,51458,50355,49252,48233,47953,47673,47393,47011,46574,46138,45722,45381,45040,44699,44578,44527,44475,44246,43620,42994,42367,42269,42255,42241,41859,40956,40052,39149,39050,38980,38910,38827,38733,38638,38546,38481,38416,38352,38326,38323,38321,38309,38246,38183,38121,37862,37527,37193,36920,36809,36697,36585,36266,35903,35540,35262,35124,34985,34846,34563,34268,33974,33643,33275,32907,32548,32471,32394,32316,31868,31157,30447,29818,29698,29578,29459,29315,29160,29005,28596,27385,26175,24964,22699,20158,17616,15323,13501,11679,9856.3,9262.5,8810.4,8358.3,7054.7,4703.1,2351.6,0
9,33607,33042,32477,31913,31378,30868,30358,29890,29790,29691,29591,29399,29158,28918,28710,28632,28553,28474,28082,27591,27099,26759,26754,26749,26744,26716,26683,26651,26626,26613,26601,26588,26526,26462,26398,26279,26110,25941,25777,25693,25608,25523,25426,25321,25216,25121,25075,25030,24984,24723,24381,24039,23730,23510,23289,23069,22948,22848,22747,22551,22196,21841,21487,21397,21327,21256,21169,21065,20960,20854,20736,20618,20500,20301,20045,19789,19545,19384,19222,19060,18987,18953,18920,18680,17789,16899,16008,14553,12950,11347,10061,9375.4,8689.7,8004.1,7578.7,7183.3,6787.9,5715.7,3810.5,1905.2,0
