Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,435.1,200.7,952.6,113700,21330,55820,152.8,28.67,75.03,0.21,0.8,0.2,0,0,0,0.42,47.6
2,5,972.7,269.5,2048,128500,27770,94490,191.2,41.32,139.5,0.14,0.8,0.2,0,0,0,0.78,43.1
3,6,1843,593.8,3597,143200,75810,119200,192.4,101.9,160.2,0.11,0.62,0.38,0,0,0,0.89,29.4
4,7,2564,583.9,4592,133200,69390,107300,185,96.37,149,0.092,0.5,0.5,0,0,0,0.83,21.8
5,8,1858,386.2,3380,134700,38790,113300,181.1,52.14,152.3,0.15,0.59,0.41,0,0,0,0.85,28.2
6,9,959.3,253.9,1714,127100,21600,96710,176.6,30,134.3,0.21,0.75,0.25,0,0,0,0.75,40.5
7,10,559.9,189.8,828.7,89310,3279,59200,120,4.407,79.57,0.33,0.67,0.33,0,0.027,0,0.44,38.8
8,11,369.2,143.7,518.5,52210,0,34650,70.17,0,46.57,0.41,0.58,0.42,0.017,0.065,0,0.26,33.7
9,12,252.2,102.6,350,33610,0,22270,46.68,0,30.92,0.45,0.55,0.45,0.037,0.041,0,0.17,32.9
10,1,187.2,77.04,251.4,23490,0,15140,31.57,0,20.36,0.44,0.54,0.46,0.061,0.15,0,0.11,28.7
11,2,192.1,101.4,254,26090,3682,19710,36.24,5.114,27.38,0.35,0.64,0.36,0.027,0.028,0,0.15,39.1
12,3,246.6,143.4,375.1,48240,13930,30420,64.83,18.72,40.88,0.27,0.73,0.27,0,0,0,0.23,45.6
