Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,376.6,172.4,780.4,96630,15230,47920,129.9,20.47,64.41,0.23,0.77,0.23,0,0.0043,0,0.36,46.7
2,5,765.6,238.1,1665,124500,23150,82500,185.3,34.45,121.8,0.16,0.82,0.18,0,0,0,0.68,46
3,6,1266,402.6,2418,140700,47840,115200,189.1,64.31,154.8,0.13,0.74,0.26,0,0,0,0.86,37.9
4,7,1681,387.6,3169,137900,40930,113100,191.5,56.84,157.1,0.11,0.64,0.36,0,0,0,0.87,31.2
5,8,1182,266.4,2118,137200,19640,108100,184.4,26.39,145.3,0.2,0.71,0.29,0,0,0,0.81,36.8
6,9,666.2,188.7,1067,113300,1962,75370,157.4,2.726,104.7,0.25,0.75,0.25,0.0022,0.027,0,0.58,42.3
7,10,442.4,149.3,665.9,69770,0,45680,93.78,0,61.4,0.36,0.63,0.37,0.027,0.038,0,0.34,36.9
8,11,306.4,117,436.5,40550,0,27100,54.5,0,36.42,0.44,0.55,0.45,0.049,0.11,0,0.2,30.5
9,12,218.3,85.3,311.5,28290,0,18060,39.29,0,25.08,0.46,0.51,0.49,0.093,0.071,0,0.14,29.8
10,1,173,70.46,237.9,23430,0,14820,31.49,0,19.92,0.43,0.53,0.47,0.11,0.078,0,0.11,30.1
11,2,178.6,91.89,246.2,24760,325.1,18230,34.39,0.4516,25.33,0.35,0.64,0.36,0.041,0.042,0,0.14,38.2
12,3,224.9,127.1,327.6,43030,10060,27510,57.84,13.52,36.97,0.28,0.72,0.28,0,0.0032,0,0.21,44.8
