Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,342.5,161,660.1,85100,11880,43050,114.4,15.97,57.87,0.25,0.76,0.24,0.0032,0.0065,0,0.32,45.9
2,5,724.7,223.6,1597,121700,18540,78060,181.1,27.59,115.3,0.16,0.81,0.19,0,0.0048,0,0.64,45.7
3,6,1329,401.7,2488,139500,47800,114500,187.5,64.25,153.8,0.13,0.72,0.28,0,0,0,0.85,36.5
4,7,1960,416,3885,138600,45250,111200,192.4,62.84,154.5,0.11,0.59,0.41,0,0,0,0.86,27.8
5,8,1418,288.3,2504,134500,23340,110700,180.8,31.37,148.8,0.18,0.66,0.34,0,0,0,0.83,33.3
6,9,762.7,199.2,1295,122100,5206,83220,169.6,7.23,115.6,0.24,0.76,0.25,0,0.022,0,0.64,41.6
7,10,485.6,157.6,730,76580,0,50060,102.9,0,67.29,0.36,0.64,0.36,0.018,0.023,0,0.37,37.3
8,11,334.8,126.8,482.6,47460,0,29920,63.79,0,40.22,0.44,0.56,0.44,0.033,0.096,0,0.22,31.3
9,12,237.5,93.35,333.3,31090,0,20450,43.18,0,28.4,0.46,0.53,0.47,0.057,0.044,0,0.16,31.7
10,1,178.3,68.81,242.3,22290,0,14370,29.96,0,19.32,0.44,0.53,0.47,0.09,0.14,0,0.11,28.5
11,2,175.6,84.34,228.7,23370,0,17490,32.46,0,24.29,0.36,0.62,0.38,0.053,0.049,0,0.13,37.1
12,3,213.5,122.4,291.9,38530,5719,25650,51.78,7.687,34.48,0.29,0.71,0.29,0.0011,0.019,0,0.19,43.9
