Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,456.5,202.1,1116,125900,21550,58610,169.2,28.96,78.77,0.2,0.81,0.19,0,0,0,0.44,47.9
2,5,1042,281.3,2143,128400,29530,98800,191,43.94,145.9,0.13,0.8,0.2,0,0,0,0.81,42.3
3,6,1909,605.5,3496,143300,77610,120900,192.6,104.3,162.5,0.11,0.61,0.39,0,0,0,0.9,28.5
4,7,2831,626.4,4972,134600,69540,104700,187,96.58,145.4,0.086,0.46,0.54,0,0,0,0.81,19.2
5,8,2167,420.5,3697,134800,44150,112100,181.2,59.34,150.7,0.14,0.54,0.46,0,0,0,0.84,24.6
6,9,1129,273.5,1968,128000,24900,103400,177.7,34.59,143.7,0.2,0.72,0.28,0,0,0,0.8,37.9
7,10,631.3,205.1,920.2,96330,8285,66660,129.5,11.14,89.61,0.32,0.68,0.31,0,0.018,0,0.5,39
8,11,416.4,159.3,574.4,58360,0,40080,78.44,0,53.87,0.4,0.6,0.4,0,0.04,0,0.3,35.1
9,12,295.4,119.9,445,46310,1358,27320,64.32,1.886,37.94,0.42,0.58,0.42,0.021,0.023,0,0.21,34.7
10,1,227.2,95.83,387.3,43120,0,21220,57.96,0,28.52,0.42,0.57,0.43,0.03,0.045,0,0.16,34
11,2,214.3,110.7,324,34400,4728,22040,47.78,6.567,30.61,0.36,0.64,0.36,0.011,0.0089,0,0.17,39.5
12,3,261.5,146.3,457.2,56140,14380,32370,75.46,19.33,43.51,0.26,0.74,0.26,0,0,0,0.24,45.9
