Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,603.9,275.9,1306,133900,33510,75420,180,45.04,101.4,0.17,0.82,0.18,0,0,0,0.56,47.5
2,5,1312,371.8,2548,124400,41970,108200,185.1,62.46,159.8,0.12,0.74,0.26,0,0,0,0.89,37.8
3,6,2267,798.1,4154,141800,87140,118500,190.6,117.1,159.2,0.096,0.54,0.46,0,0,0,0.88,24.1
4,7,3137,779.9,5109,137000,66700,100700,190.2,92.64,139.9,0.081,0.42,0.58,0,0,0,0.78,16.8
5,8,2354,516.5,3998,135500,58260,111600,182.1,78.31,150.1,0.13,0.51,0.49,0,0,0,0.83,22.7
6,9,1232,322.6,2105,128400,32440,107400,178.4,45.06,149.2,0.19,0.71,0.29,0,0,0,0.83,36.5
7,10,666.8,230.9,982.6,103000,18810,70630,138.4,25.28,94.93,0.32,0.69,0.31,0,0.0032,0,0.53,39.4
8,11,431.3,173.6,584.3,59710,0,41670,80.26,0,56.01,0.4,0.6,0.4,0,0.033,0,0.31,35.4
9,12,298.4,132.3,395.4,38960,4116,27510,54.11,5.717,38.2,0.42,0.58,0.42,0.0044,0.024,0,0.21,35
10,1,233.5,113.8,297.1,30840,4290,22250,41.46,5.766,29.91,0.41,0.59,0.41,0,0.04,0,0.17,35.2
11,2,230.2,134.1,298.4,31210,13410,23520,43.34,18.62,32.66,0.37,0.64,0.36,0,0.0011,0,0.18,39.6
12,3,298.7,175.2,473.5,57670,19230,37150,77.51,25.85,49.93,0.25,0.75,0.25,0,0,0,0.28,46.4
