Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,376.6,172.4,780.4,96630,16300,47950,129.9,21.91,64.45,0.23,0.77,0.23,0,0,0,0.36,46.8
2,5,765.6,238.1,1665,124500,23150,82450,185.3,34.45,121.8,0.16,0.82,0.18,0,0,0,0.68,46
3,6,1266,402.6,2418,140700,47840,115200,189.1,64.31,154.8,0.13,0.74,0.26,0,0,0,0.86,37.9
4,7,1681,387.6,3169,137900,40930,113100,191.5,56.84,157.1,0.12,0.64,0.36,0,0,0,0.87,31.2
5,8,1182,266.4,2118,137200,19640,108200,184.4,26.39,145.4,0.19,0.71,0.29,0,0,0,0.81,36.8
6,9,666.2,188.7,1067,113300,10760,75810,157.4,14.94,105.3,0.25,0.76,0.24,0,0,0,0.59,43
7,10,442.4,149.3,665.9,69770,3577,46290,93.78,4.808,62.22,0.36,0.64,0.36,0.016,0,0,0.35,38
8,11,306.4,117,436.5,40550,374.7,28750,54.5,0.5036,38.64,0.44,0.55,0.45,0.038,0,0,0.21,33.9
9,12,218.3,85.3,311.5,28290,0,19370,39.29,0,26.91,0.46,0.53,0.47,0.064,0,0,0.15,32.6
10,1,173,70.46,237.9,23430,0,16320,31.49,0,21.93,0.43,0.55,0.45,0.067,0,0,0.12,33.8
11,2,178.6,91.89,246.2,24760,3382,18660,34.39,4.697,25.91,0.35,0.64,0.36,0.02,0,0,0.14,39.6
12,3,224.9,127.1,327.6,42230,10950,27380,56.76,14.72,36.81,0.28,0.72,0.28,0,0,0,0.2,44.7
