Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,232.6,134.2,371.8,48570,6819,26330,65.29,9.166,35.39,0.34,0.66,0.34,0.011,0.02,0,0.2,41
2,5,489.4,190.3,1043,109600,7191,54640,163,10.7,80.69,0.22,0.78,0.22,0,0.022,0,0.45,45.3
3,6,1118,357.4,2263,141100,40310,106500,189.6,54.18,143.2,0.14,0.75,0.25,0,0,0,0.8,39.4
4,7,1513,366.3,3221,138300,37830,109800,192.1,52.54,152.5,0.13,0.68,0.32,0,0,0,0.85,33.8
5,8,993.7,251.7,1973,133900,15850,97030,180,21.3,130.4,0.22,0.72,0.28,0,0.0043,0,0.72,38.6
6,9,556,179.9,906.6,105000,0,62640,145.8,0,87.01,0.28,0.72,0.28,0.0089,0.033,0,0.48,41.5
7,10,370.5,140.6,574.9,60900,0,36770,81.85,0,49.43,0.39,0.61,0.39,0.038,0.14,0,0.27,34.1
8,11,257.6,107.7,384.5,37260,0,21390,50.08,0,28.75,0.47,0.51,0.49,0.12,0.27,0,0.16,27.3
9,12,181.1,75.05,267.7,24100,0,14590,33.48,0,20.26,0.49,0.46,0.54,0.2,0.24,0,0.11,27.5
10,1,141.5,58.93,203.5,20030,0,11570,26.93,0,15.56,0.45,0.49,0.51,0.19,0.3,0,0.086,27.1
11,2,149.4,77.72,208.3,22090,0,14040,30.68,0,19.5,0.38,0.58,0.42,0.12,0.2,0,0.11,33.5
12,3,180.2,112.1,236.9,30130,0,19730,40.49,0,26.51,0.34,0.66,0.34,0.015,0.056,0,0.15,39.5
