Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,291.6,146.7,531.7,71120,9107,35640,95.59,12.24,47.9,0.28,0.72,0.28,0.0075,0.0054,0,0.27,44.4
2,5,655.7,210,1427,121000,13070,72210,180.1,19.45,106.6,0.17,0.81,0.19,0,0.012,0,0.59,46
3,6,1157,336.8,2167,139000,37500,110900,186.9,50.4,149,0.14,0.75,0.25,0,0,0,0.83,39.1
4,7,1691,348.9,3504,138100,35130,112100,191.7,48.79,155.7,0.12,0.64,0.36,0,0,0,0.87,30.9
5,8,1171,248.8,2220,136600,15080,107000,183.6,20.27,143.8,0.2,0.71,0.29,0,0.0054,0,0.8,36.7
6,9,647.7,177.2,1009,113100,0,73750,157.2,0,102.4,0.25,0.75,0.25,0.011,0.022,0,0.57,42.4
7,10,428.7,139.1,628.7,66190,0,44000,88.96,0,59.14,0.37,0.62,0.38,0.033,0.035,0,0.33,36.4
8,11,297.1,108.1,415,38860,0,26140,52.23,0,35.13,0.45,0.55,0.45,0.056,0.13,0,0.2,29.9
9,12,210.9,78.19,291.1,27860,0,17850,38.69,0,24.8,0.46,0.51,0.49,0.11,0.057,0,0.14,30.2
10,1,165.6,62.9,224,21060,0,13730,28.3,0,18.45,0.43,0.52,0.48,0.12,0.11,0,0.1,29.1
11,2,169.1,82.25,226.1,22940,0,16730,31.85,0,23.23,0.36,0.62,0.38,0.06,0.06,0,0.13,36.5
12,3,202.9,115.5,275.7,35960,642.1,23750,48.33,0.863,31.92,0.31,0.7,0.3,0.0011,0.037,0,0.18,42.4
