Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,329.2,156,653.9,83260,10880,41080,111.9,14.62,55.21,0.26,0.75,0.25,0.0043,0.0065,0,0.31,45.4
2,5,652,215.7,1439,122400,16210,72110,182.1,24.12,106.5,0.18,0.81,0.19,0,0.0071,0,0.59,46.2
3,6,1132,362.5,2220,137900,41560,110100,185.3,55.86,148,0.14,0.76,0.24,0,0,0,0.82,39.7
4,7,1555,355.4,3045,138400,36150,111900,192.2,50.21,155.4,0.12,0.66,0.33,0,0,0,0.86,32.9
5,8,1087,245.6,1987,135100,14290,103900,181.5,19.2,139.7,0.21,0.72,0.28,0,0.0065,0,0.78,37.7
6,9,609.7,174.4,987.8,110200,0,68920,153.1,0,95.72,0.26,0.74,0.26,0.013,0.024,0,0.53,41.8
7,10,407.1,139.1,625.1,63760,0,40940,85.7,0,55.03,0.38,0.61,0.39,0.033,0.058,0,0.31,35.4
8,11,284.9,109.2,417.9,37740,0,24380,50.72,0,32.77,0.45,0.54,0.46,0.069,0.14,0,0.18,28.9
9,12,202.4,78.46,293.6,26110,0,16760,36.27,0,23.28,0.47,0.51,0.49,0.12,0.071,0,0.13,29.4
10,1,160.7,63.97,223.1,20610,0,14000,27.7,0,18.82,0.43,0.52,0.48,0.13,0.066,0,0.1,30.4
11,2,168.5,86.28,232,22610,0,16970,31.41,0,23.58,0.36,0.62,0.38,0.06,0.036,0,0.13,37.4
12,3,210.8,121.2,297.9,39450,4003,25080,53.02,5.38,33.7,0.3,0.7,0.29,0,0.026,0,0.19,43.2
