Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,331.6,161.4,620.6,82430,11960,41680,110.8,16.07,56.02,0.25,0.76,0.24,0.0032,0.0065,0,0.31,45.9
2,5,769.4,234.2,1642,121400,21940,81950,180.7,32.65,121,0.16,0.82,0.18,0,0.0012,0,0.67,45.6
3,6,1377,419.7,2564,141700,50660,116800,190.4,68.09,157,0.13,0.71,0.29,0,0,0,0.87,36
4,7,1959,427.4,3843,138700,47000,112100,192.6,65.28,155.6,0.1,0.59,0.41,0,0,0,0.86,27.8
5,8,1396,295.8,2455,135100,24570,111800,181.5,33.03,150.2,0.18,0.67,0.33,0,0,0,0.83,33.8
6,9,760,205,1198,120900,7001,83750,167.9,9.724,116.3,0.24,0.76,0.24,0,0.019,0,0.65,42.1
7,10,487.7,159.6,707.1,75530,0,50920,101.5,0,68.44,0.35,0.65,0.35,0.017,0.017,0,0.38,37.9
8,11,332,123.8,466.1,45010,0,29560,60.5,0,39.73,0.44,0.56,0.45,0.033,0.099,0,0.22,31.2
9,12,233.9,90.81,321.4,29270,0,19960,40.66,0,27.72,0.46,0.53,0.47,0.061,0.054,0,0.15,31.2
10,1,183.6,74.96,240.7,23330,0,15950,31.35,0,21.44,0.43,0.55,0.45,0.061,0.11,0,0.12,30.7
11,2,181.6,91.31,239.2,23810,0,18280,33.07,0,25.39,0.36,0.63,0.37,0.023,0.053,0,0.14,37.8
12,3,214.6,123.5,291.8,37440,6499,25790,50.32,8.735,34.66,0.29,0.71,0.29,0,0.018,0,0.19,44
