Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
10,1,238.7,116.4,437.1,50950,4318,22770,68.48,5.804,30.61,0.4,0.6,0.4,0,0.078,0,0.17,35
11,2,275.9,153.7,525.8,63520,15040,29430,88.22,20.89,40.87,0.33,0.67,0.33,0,0.021,0,0.23,40.9
12,3,432.3,229.5,803.1,101200,28580,52950,136.1,38.41,71.17,0.24,0.76,0.24,0,0,0,0.4,45.8
1,4,719.2,329.9,1700,132500,41770,84890,178.1,56.15,114.1,0.18,0.8,0.2,0,0,0,0.63,45.8
2,5,1347,451.8,8630,130600,5180,100000,187.6,7.708,147.6,0.13,0.75,0.25,0,0,0.01,0.82,39.3
3,6,2531,588.1,7995,139700,0,106600,187.7,0,143.2,0.096,0.53,0.47,0,0,0.067,0.8,24.1
4,7,2965,758.8,7423,138800,0,101400,192.8,0,140.9,0.086,0.45,0.55,0,0,0.042,0.78,18.4
5,8,2219,686,5182,142200,44730,117800,191.1,60.12,158.4,0.13,0.54,0.46,0,0,0.0059,0.88,23.8
6,9,1203,326.6,2822,130400,33040,107300,181.2,45.89,149,0.2,0.72,0.28,0,0,0,0.83,37
7,10,589.3,243.9,1321,126200,22530,61170,169.6,30.28,82.22,0.34,0.67,0.33,0,0,0,0.46,38.9
8,11,384.9,199,676.5,72920,7666,37100,98.01,10.3,49.86,0.41,0.6,0.4,0,0.014,0,0.28,35.8
9,12,287.6,152.7,490.5,53350,12410,26950,74.1,17.23,37.43,0.41,0.59,0.41,0,0.019,0,0.21,35.9
