month,waterMonth,flowMean,flowMedian,flowMin,flowMax,canalFlowMean,canalFlowMedian,canalFlowMin,canalFlowMax,eFlowMean,eFlowMedian,eFlowMin,eFlowMax,spillFlowMean,spillFlowMedian,spillFlowMin,spillFlowMax,grossHeadMean,grossHeadMedian,grossHeadMin,grossHeadMax,netHeadMean,netHeadMedian,netHeadMin,netHeadMax,energyMax,energyMin,energyMean,energyMedian,plantPowerMax,plantPowerMin,plantPowerMean,plantPowerMedian,eFlowProportionMean,generationProportionMean,bypassProportionMean,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactorMean,specificEnergyMean,dischargeMedian,eFlowDischargeMedian,spillDischargeMedian,canalDischargeMedian
10,1,238.7,228,134.5,445.8,144.7,131.7,82.47,325.8,94.02,97,52,120,0,0,0,0,25.35,25.4,24.4,25.6,25.11,25.2,24.01,25.38,52360,13180,23570,21870,70.38,17.72,31.68,29.39,0.4,0.6,0.4,0,0.025,0,0.18,36.6,590.976,251.424,0,341.36639999999994
11,2,275.7,265.5,153.2,546.2,186.2,170.4,103.2,432.2,89.54,93,50,114,0,0,0,0,25.19,25.2,23.9,25.6,24.9,24.96,23.42,25.35,66540,16510,29670,27600,92.41,22.93,41.21,38.33,0.33,0.67,0.33,0,0.0077,0,0.23,41.3,711.1152,249.0912,0,456.39936
12,3,438.4,408.1,229.8,832.7,337.9,305.5,170.8,706.7,100.6,104,59,126,0,0,0,0,24.44,24.6,22.8,25.4,24.03,24.2,21.88,25.14,105500,28730,53980,49420,141.8,38.62,72.55,66.43,0.24,0.77,0.23,0,0,0,0.4,46,1057.7952,269.568,0,791.856
1,4,737.5,656.3,331.5,1712,590.1,536.3,258.5,1079,118.4,120,73,150,29.04,0,0,640.8,23.22,23.5,20,24.9,22.47,22.84,18.25,24.66,133600,42040,88110,82920,179.6,56.51,118.4,111.4,0.17,0.81,0.19,0,0,0,0.66,46.2,1757.83392,321.408,0,1436.4259199999997
2,5,1369,1007,462.8,8627,852.8,852.8,377.8,1100,138.7,137,85,197,377.2,4.621,0,7330,21.27,22.15,9.13,24.3,20.05,20.98,7.37,23.86,131900,9409,102300,103800,189.5,14,150.9,151.4,0.13,0.75,0.25,0,0,0.0082,0.84,39.2,2697.1488,366.9408,12.3768864,2284.13952
3,6,2527,2356,617.6,7963,1021,1100,510.6,1100,194.7,193.3,107,315,1311,1054,0,6548,18.2,18.1,9.36,23.6,16.57,16.26,7.583,23.03,141600,15000,109300,114800,190.3,20.16,147,154.3,0.096,0.53,0.47,0,0,0.014,0.82,24.3,5699.6352,467.63136,2549.8368,2661.12
4,7,2954,2948,670.2,7415,1073,1100,545.2,1100,232.6,217,125,364,1648,1605,0,5950,16.97,16.6,9.72,23.4,15.19,14.74,7.928,22.8,141700,19090,103100,104300,196.8,26.51,143.2,144.9,0.087,0.45,0.55,0,0,0.0057,0.8,18.8,7895.9232,581.2128,4298.832,2946.24
5,8,2244,2278,716.3,5262,1052,1100,569.3,1100,266.2,276,147,340,926.1,901.5,0,3822,18.58,18.25,12.2,23.2,16.84,16.39,10.3,22.55,143600,65170,117600,119500,193,87.6,158.1,160.6,0.13,0.54,0.46,0,0,0,0.88,23.8,5904.576,715.392,2336.688,2851.2
6,9,1226,1201,328.4,2829,849.2,925.7,209.4,1100,213.7,210,119,293,163.1,64.36,0,1436,21.5,21.5,16.9,25,20.24,20.14,15.07,24.63,131100,33450,109300,118800,182.1,46.46,151.8,165,0.2,0.72,0.28,0,0,0,0.84,37,3216.7584,562.464,172.381824,2479.39488
7,10,613.1,573.5,242.7,1321,424.2,387.6,134.7,959.6,187.2,186,108,256,1.739,0,0,105,23.7,23.8,21.1,25.4,23.17,23.37,19.64,25.12,127200,22320,64750,60580,171,30,87.03,81.43,0.32,0.68,0.32,0,0,0,0.48,39.5,1486.512,482.112,0,1004.6592
8,11,393.2,381.5,198.9,711.9,238.5,225.3,105.9,509.9,154.7,155,93,202,0,0,0,0,24.65,24.7,23.3,25.6,24.31,24.37,22.63,25.38,78190,9321,38440,36620,105.1,12.53,51.67,49.22,0.4,0.6,0.4,0,0.0097,0,0.29,36.3,1021.8096,415.152,0,603.44352
9,12,289.1,281.1,151.8,505,172.1,161.9,79.82,359,117,118,72,146,0,0,0,0,25.13,25.2,24.1,25.6,24.86,24.89,23.69,25.38,55550,12250,27300,26080,77.15,17.02,37.92,36.23,0.41,0.59,0.41,0,0.011,0,0.21,36.2,752.89824,316.0512,0,433.63296
