Exceedance,Energy,RiverVolume,CapFactor,EFlowProportion,SpecificEnergy,ShutoffDaysProportion
0,924.2,31.5,0.586,0.44,45.5,0.23
0.01,914,31,0.579,0.419,45.4,0.228
0.02,903.7,30.5,0.573,0.398,45.2,0.227
0.03,893.5,30.1,0.566,0.377,45,0.225
0.04,883.4,29.7,0.56,0.354,44.9,0.199
0.05,873.3,29.3,0.553,0.33,44.8,0.16
0.06,863.2,28.9,0.547,0.306,44.7,0.122
0.07,856,28.7,0.543,0.289,44.6,0.0896
0.08,854.7,28.6,0.542,0.286,44.5,0.0707
0.09,853.4,28.5,0.541,0.283,44.4,0.0518
0.1,852,28.4,0.54,0.28,44.3,0.0329
0.11,850.7,28.3,0.539,0.28,44.2,0.0304
0.12,849.4,28.2,0.539,0.28,44.2,0.0279
0.13,848,28,0.538,0.28,44.1,0.0255
0.14,847.4,27.8,0.538,0.274,44,0.0241
0.15,847.2,27.6,0.538,0.265,44,0.0233
0.16,847,27.4,0.537,0.256,43.9,0.0225
0.17,846.7,27.2,0.537,0.247,43.8,0.0208
0.18,846.4,27.1,0.537,0.238,43.6,0.0175
0.19,846.1,27.1,0.536,0.229,43.5,0.0142
0.2,845.8,27,0.536,0.22,43.4,0.011
0.21,831.8,26.9,0.527,0.22,43.3,0.00767
0.22,817.7,26.7,0.519,0.22,43.2,0.00438
0.23,803.7,26.6,0.51,0.22,43,0.0011
0.24,798.6,26.3,0.507,0.22,43,0
0.25,798,26.1,0.506,0.22,43,0
0.26,797.5,25.8,0.506,0.22,42.9,0
0.27,796.9,25.3,0.506,0.22,42.8,0
0.28,796.2,24.6,0.505,0.22,42.6,0
0.29,795.5,23.8,0.505,0.22,42.3,0
0.3,794.8,23.1,0.504,0.22,42.1,0
0.31,791.6,23,0.502,0.217,42,0
0.32,788.4,22.8,0.5,0.214,41.9,0
0.33,785.3,22.6,0.498,0.211,41.8,0
0.34,782.9,22.5,0.496,0.208,41.5,0
0.35,780.9,22.3,0.495,0.205,41,0
0.36,778.8,22,0.494,0.202,40.6,0
0.37,776.6,21.8,0.492,0.2,40.2,0
0.38,773.8,21.5,0.491,0.2,39.9,0
0.39,771,21.1,0.489,0.2,39.6,0
0.4,768.2,20.8,0.487,0.2,39.3,0
0.41,766.3,20.5,0.486,0.197,39.2,0
0.42,764.4,20.2,0.485,0.194,39.1,0
0.43,762.4,19.9,0.483,0.191,39,0
0.44,760.2,19.8,0.482,0.19,38.9,0
0.45,757.8,19.7,0.48,0.19,38.6,0
0.46,755.3,19.6,0.479,0.19,38.4,0
0.47,753.4,19.6,0.478,0.189,38.2,0
0.48,752.6,19.4,0.477,0.186,38.1,0
0.49,751.8,19.3,0.477,0.183,37.9,0
0.5,751,19.2,0.476,0.18,37.7,0
0.51,747.3,19,0.474,0.18,37.5,0
0.52,743.6,18.9,0.471,0.18,37.2,0
0.53,739.8,18.8,0.469,0.18,37,0
0.54,730.5,18.5,0.463,0.178,36.8,0
0.55,718.3,18.1,0.455,0.175,36.6,0
0.56,706.1,17.7,0.448,0.172,36.5,0
0.57,696.5,17.4,0.442,0.17,36.4,0
0.58,692.1,17.1,0.439,0.17,36.4,0
0.59,687.7,16.7,0.436,0.17,36.3,0
0.6,683.3,16.4,0.433,0.17,36.3,0
0.61,681.6,16.3,0.432,0.17,36.2,0
0.62,679.8,16.2,0.431,0.17,36.1,0
0.63,678.1,16.1,0.43,0.17,36,0
0.64,673,15.9,0.427,0.17,35.9,0
0.65,666.3,15.6,0.422,0.17,35.7,0
0.66,659.6,15.3,0.418,0.17,35.5,0
0.67,654.7,15,0.415,0.17,35.2,0
0.68,653.3,14.9,0.414,0.17,34.4,0
0.69,652,14.7,0.414,0.17,33.7,0
0.7,650.7,14.5,0.413,0.17,33,0
0.71,642.4,14.4,0.408,0.17,32.9,0
0.72,634.1,14.4,0.402,0.17,32.7,0
0.73,625.9,14.3,0.397,0.17,32.5,0
0.74,616.3,14.1,0.391,0.17,32.3,0
0.75,606.1,13.8,0.385,0.17,32.1,0
0.76,595.9,13.5,0.378,0.17,31.9,0
0.77,588.5,13.3,0.374,0.169,31.5,0
0.78,586.5,13.3,0.372,0.166,31.1,0
0.79,584.6,13.2,0.371,0.163,30.6,0
0.8,582.7,13.2,0.37,0.16,30.1,0
0.81,573.4,13,0.364,0.16,30,0
0.82,564.1,12.8,0.358,0.16,29.9,0
0.83,554.8,12.6,0.352,0.16,29.8,0
0.84,533.9,12.2,0.339,0.16,29.8,0
0.85,507.3,11.7,0.322,0.16,29.8,0
0.86,480.7,11.1,0.305,0.16,29.8,0
0.87,460.9,10.8,0.293,0.16,29.8,0
0.88,455.1,10.7,0.289,0.16,29.8,0
0.89,449.2,10.7,0.285,0.16,29.8,0
0.9,443.3,10.6,0.281,0.16,29.8,0
0.91,393.7,9.74,0.249,0.16,29.7,0
0.92,344.1,8.88,0.218,0.16,29.6,0
0.93,294.5,8.02,0.186,0.16,29.5,0
0.94,264.6,7.48,0.168,0.16,29.2,0
0.95,244.5,7.11,0.155,0.16,28.9,0
0.96,224.3,6.74,0.142,0.16,28.5,0
0.97,197.8,6.02,0.126,0.159,28.1,0
0.98,158.4,4.61,0.101,0.156,27.7,0
0.99,119.1,3.21,0.0756,0.153,27.3,0
1,79.72,1.8,0.0506,0.15,26.9,0
