Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,431.7,195.5,921.3,111500,20450,55510,149.9,27.48,74.61,0.21,0.8,0.2,0,0,0,0.41,47.7
2,5,910,267,1928,128400,27430,92370,191,40.82,136.4,0.14,0.81,0.19,0,0,0,0.76,44.4
3,6,1595,519.7,3022,140700,64830,119700,189.1,87.14,160.9,0.12,0.67,0.33,0,0,0,0.89,32.8
4,7,2286,523.3,4158,136300,61740,110500,189.4,85.75,153.5,0.097,0.54,0.46,0,0,0,0.85,24.2
5,8,1666,355,2935,134700,33910,113900,181,45.58,153.1,0.16,0.62,0.38,0,0,0,0.85,30.3
6,9,882.1,236.9,1483,126100,17880,92640,175.1,24.83,128.7,0.22,0.76,0.24,0,0.0022,0,0.71,41.4
7,10,542.4,180.4,787.7,84210,0,57020,113.2,0,76.64,0.34,0.67,0.33,0,0.033,0,0.43,38.3
8,11,365.6,140.5,513.1,52240,0,34220,70.21,0,45.99,0.42,0.58,0.42,0.02,0.065,0,0.26,33.5
9,12,256.4,104.5,356.2,34520,0,23060,47.94,0,32.03,0.44,0.55,0.45,0.037,0.027,0,0.18,33.6
10,1,198.6,84.96,264.9,25830,0,17050,34.71,0,22.92,0.43,0.56,0.44,0.033,0.12,0,0.13,31
11,2,198.1,104.4,263.7,27000,3625,19900,37.5,5.035,27.64,0.36,0.64,0.36,0.017,0.036,0,0.15,38.4
12,3,247.9,140.9,374.5,48160,13550,30550,64.73,18.21,41.06,0.27,0.73,0.27,0,0,0,0.23,45.6
