Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,385.1,172.6,806.4,101300,14490,49000,136.2,19.48,65.86,0.23,0.78,0.22,0.0032,0.0043,0,0.37,46.6
2,5,897.5,243.5,1989,128000,23990,90200,190.5,35.71,133.2,0.14,0.81,0.19,0,0,0,0.74,44.3
3,6,1289,360.9,2515,142600,41240,115700,191.7,55.44,155.5,0.13,0.74,0.26,0,0,0,0.86,37.8
4,7,1475,321.7,2792,138400,31440,111800,192.2,43.67,155.2,0.13,0.68,0.32,0,0,0,0.86,34
5,8,979.5,222.1,1807,135600,8439,100400,182.3,11.34,135,0.21,0.74,0.26,0.0075,0.0075,0,0.75,39.1
6,9,573.8,162.5,920.7,106700,0,65290,148.1,0,90.68,0.27,0.73,0.27,0.022,0.014,0,0.5,42
7,10,389.8,129.6,590.7,63200,0,39690,84.95,0,53.34,0.38,0.62,0.38,0.033,0.073,0,0.3,35.6
8,11,275.1,101.8,394.6,38790,0,24110,52.14,0,32.41,0.45,0.54,0.46,0.071,0.12,0,0.18,29.8
9,12,197.1,73.31,273,24990,0,16650,34.72,0,23.12,0.47,0.5,0.5,0.14,0.036,0,0.13,30
10,1,156.2,58.74,210.8,20380,0,13610,27.39,0,18.3,0.43,0.52,0.48,0.15,0.065,0,0.1,30.2
11,2,166.9,83.03,223.7,23040,0,17050,32,0,23.68,0.35,0.63,0.37,0.063,0.046,0,0.13,37.5
12,3,215.3,120.8,310,41390,2990,25750,55.63,4.019,34.62,0.29,0.71,0.29,0,0.03,0,0.19,43.4
