Exceedance,Flow,Power,Energy,GrossHead,CanalFlow,NetHead,TotalEfficiency,TotalHeadloss,EFlowProportion,GenerationProportion,BypassProportion,SpecificEnergy,ShutoffProportion
0,2740,191,141000,25.6,1100,25.4,0.938,1.87,0.94,0.88,1,50.1,1
0.01,2230,188,138000,25.6,1100,25.4,0.936,1.87,0.814,0.87,1,49.7,1
0.02,1970,187,136000,25.6,1100,25.4,0.936,1.87,0.718,0.87,1,49.4,1
0.03,1780,184,135000,25.6,1100,25.4,0.936,1.86,0.652,0.87,0.909,49.1,1
0.04,1610,183,134000,25.6,1100,25.4,0.935,1.85,0.64,0.85,0.856,48.5,1
0.05,1530,180,133000,25.6,1100,25.4,0.935,1.82,0.591,0.85,0.691,48.5,1
0.06,1510,179,131000,25.6,1080,25.4,0.935,1.75,0.53,0.845,0.623,48.4,0.865
0.07,1470,175,130000,25.6,1070,25.4,0.935,1.7,0.519,0.84,0.569,48.2,0.741
0.08,1370,172,126000,25.5,1040,25.4,0.934,1.64,0.51,0.84,0.54,48.1,0.688
0.09,1290,169,122000,25.5,1010,25.4,0.934,1.54,0.49,0.83,0.527,47.7,0.516
0.1,1220,164,122000,25.5,956,25.4,0.934,1.35,0.48,0.83,0.51,47.6,0.424
0.11,1110,164,120000,25.5,905,25.4,0.934,1.3,0.47,0.82,0.49,47.4,0.377
0.12,1040,162,118000,25.5,866,25.4,0.934,1.21,0.46,0.82,0.48,47.2,0.353
0.13,1010,159,116000,25.5,847,25.4,0.933,1.15,0.46,0.82,0.47,46.9,0.323
0.14,951,154,110000,25.5,818,25.4,0.933,1.08,0.45,0.81,0.46,46.6,0.233
0.15,865,146,105000,25.5,738,25.4,0.933,0.936,0.44,0.81,0.46,46.5,0.167
0.16,853,140,103000,25.5,701,25.4,0.933,0.877,0.44,0.81,0.45,46.4,0.131
0.17,818,138,99200,25.5,693,25.4,0.933,0.864,0.43,0.8,0.44,46.1,0.0345
0.18,814,134,98100,25.5,669,25.4,0.933,0.85,0.43,0.8,0.44,46,0.0323
0.19,786,130,94200,25.5,654,25.4,0.933,0.819,0.43,0.8,0.44,45.9,0
0.2,770,129,91800,25.5,642,25.4,0.932,0.801,0.42,0.8,0.43,45.7,0
0.21,755,127,89600,25.5,627,25.4,0.932,0.775,0.42,0.79,0.43,45.5,0
0.22,744,123,87300,25.5,612,25.4,0.931,0.749,0.42,0.79,0.42,45.3,0
0.23,702,116,85900,25.5,566,25.4,0.931,0.69,0.41,0.784,0.42,45.2,0
0.24,664,112,79800,25.5,540,25.4,0.93,0.643,0.4,0.78,0.42,45.2,0
0.25,627,104,76100,25.5,502,25.3,0.929,0.607,0.4,0.77,0.41,45.1,0
0.26,597,100,72200,25.5,479,25.3,0.929,0.57,0.4,0.77,0.41,44.9,0
0.27,575,97.3,69900,25.5,462,25.3,0.928,0.551,0.39,0.761,0.4,44.8,0
0.28,564,94,66800,25.5,446,25.3,0.928,0.531,0.39,0.76,0.4,44.7,0
0.29,553,89.5,66200,25.5,421,25.3,0.927,0.515,0.39,0.75,0.4,44.6,0
0.3,529,85.1,60900,25.5,399,25.3,0.926,0.482,0.38,0.75,0.39,44.5,0
0.31,514,81.5,59100,25.5,382,25.3,0.926,0.464,0.377,0.75,0.39,44.4,0
0.32,507,79.7,57900,25.5,375,25.3,0.926,0.456,0.37,0.74,0.39,44.2,0
0.33,494,78.5,56500,25.5,366,25.3,0.925,0.443,0.37,0.74,0.385,44.2,0
0.34,478,77.3,54800,25.5,359,25.2,0.925,0.435,0.369,0.739,0.38,44,0
0.35,467,74.5,53900,25.5,346,25.2,0.924,0.419,0.353,0.73,0.37,43.5,0
0.36,456,71.8,51500,25.4,336,25.2,0.924,0.405,0.35,0.73,0.37,43.1,0
0.37,435,69.3,51000,25.4,320,25.1,0.923,0.4,0.35,0.722,0.37,43,0
