waterYear,days,energy,powerMax,powerMin,powerMean,flowMean,flowMin,flowMax,riverVolume,eFlowVolume,canalVolume,eFlowProportionMean,eFlowProportionMin,eFlowProportionMax,lowFlowShutoffDays,highHeadShutoffDays,lowHeadShutoffDays,lowFlowShutoffProportion,highHeadShutoffProportion,lowHeadShutoffProportion,capFactor,proportion4Units,proportion3Units,proportion2Units,proportion1Units,proportion0Units,shutoffDays,shutoffDaysProportion,bypassVolume,eFlowProportion,generationProportion,bypassProportion,specificEnergy,energyExceedance,energyPctVariation,riverVolumePctVariation,riverFlowPctVariation
1924,365,865.2,192.8,17,98.77,998.1,127.7,3456,31.5,4.47,18.1,0.24,0.0529,0.525,0,0,0,0,0,0,0.549,0.41,0.074,0.088,0.42,0,0,0,13.4,0.14,0.57,0.43,27.5,0.5706896551724128,0.00023121387283242252,-0.09742120343839537,-0.1008108108108108
1925,365,797,192.8,23.45,90.98,1125,158.3,4582,35.5,4.69,17.1,0.232,0.0399,0.576,0,0,0,0,0,0,0.505,0.33,0.12,0.21,0.35,0,0,0,18.4,0.13,0.48,0.52,22.5,0.8407172995780591,-0.07861271676300578,0.01719197707736394,0.013513513513513514
1926,365,880.8,192.8,0,100.5,998.2,195.3,3284,31.5,4.92,18.4,0.253,0.0661,0.49,0,16,0,0,0.044,0,0.559,0.39,0.079,0.17,0.36,0,16,0.043835616438356165,13.1,0.16,0.58,0.42,28,0.39210526315789496,0.01826589595375717,-0.09742120343839537,-0.10072072072072068
1927,366,855.9,192.8,23.23,97.44,858.7,178.2,2291,27.2,4.46,17.1,0.251,0.0646,0.474,0,0,0,0,0,0,0.543,0.32,0.14,0.16,0.38,0,0,0,10.1,0.16,0.63,0.37,31.5,0.6267605633802817,-0.010520231213872858,-0.22063037249283665,-0.22639639639639636
1928,365,769.7,192.8,23.55,87.87,572.3,199.9,1571,18,3.55,14,0.258,0.0942,0.507,0,0,0,0,0,0,0.488,0.19,0.18,0.22,0.41,0,0,0,4,0.2,0.78,0.22,42.8,0.9064189189189189,-0.11017341040462422,-0.48424068767908307,-0.48441441441441446
1929,365,903.2,192.8,25.48,103.1,730.1,187.6,2220,23,4.37,17,0.248,0.0865,0.459,0,0,0,0,0,0,0.573,0.28,0.21,0.22,0.29,0,0,0,6,0.19,0.74,0.26,39.3,0.3025925925925923,0.04416184971098271,-0.34097421203438394,-0.34225225225225225
1930,365,843.2,192.8,24.58,96.26,951.1,203.8,3334,30,4.9,17.1,0.255,0.0539,0.562,0,0,0,0,0,0,0.535,0.29,0.17,0.24,0.3,0,0,0,12.9,0.16,0.57,0.43,28.1,0.6754166666666662,-0.02520231213872827,-0.14040114613180513,-0.14315315315315313
1931,366,929.5,192.8,30.38,105.8,1074,236.2,3818,34,5.25,19.2,0.249,0.0487,0.478,0,0,0,0,0,0,0.589,0.4,0.16,0.15,0.29,0,0,0,14.8,0.15,0.56,0.44,27.3,0.18835616438356176,0.07456647398843931,-0.025787965616045804,-0.032432432432432434
1932,365,782.4,192.8,0,89.32,591.3,187.6,1596,18.6,3.48,14.5,0.259,0.0893,0.485,0,15,0,0,0.041,0,0.496,0.24,0.15,0.19,0.41,0,15,0.0410958904109589,4.1,0.19,0.78,0.22,42.1,0.8833333333333333,-0.09549132947976881,-0.46704871060171915,-0.46729729729729735
1933,365,817.4,192.8,19.45,93.31,1232,158.3,5661,38.9,5.21,17.9,0.245,0.0422,0.507,0,0,0,0,0,0,0.518,0.33,0.15,0.2,0.31,0,0,0,21,0.13,0.46,0.54,21,0.7945544554455445,-0.055028901734104074,0.11461318051575932,0.10990990990990991
1934,365,889.3,192.8,0,101.5,958.2,176.4,3258,30.2,4.82,18.1,0.256,0.0721,0.531,0,7,0,0,0.019,0,0.564,0.35,0.12,0.21,0.32,0,7,0.019178082191780823,12.1,0.16,0.6,0.4,29.4,0.3548245614035089,0.028092485549132896,-0.13467048710601717,-0.13675675675675672
1935,366,837.3,192.8,0,95.32,817.8,188.8,2496,25.9,4.25,16.6,0.248,0.0628,0.493,0,10,0,0,0.027,0,0.531,0.3,0.12,0.23,0.35,0,10,0.0273972602739726,9.3,0.16,0.64,0.36,32.3,0.7,-0.03202312138728329,-0.25787965616045844,-0.2632432432432433
1936,365,868.2,192.8,23.62,99.11,1205,203.8,3635,38,5.51,18.9,0.25,0.0501,0.539,0,0,0,0,0,0,0.551,0.39,0.085,0.22,0.3,0,0,0,19.1,0.14,0.5,0.5,22.8,0.5280487804878042,0.0036994219653179714,0.08882521489971351,0.08558558558558559
1937,365,868.7,192.8,26.94,99.17,836.5,223.4,3237,26.4,4.41,17,0.26,0.0457,0.551,0,0,0,0,0,0,0.551,0.31,0.14,0.23,0.31,0,0,0,9.4,0.17,0.64,0.36,32.9,0.5219512195121945,0.0042774566473988964,-0.24355300859598855,-0.2463963963963964
1938,365,852.5,192.8,26.17,97.32,886.2,216.8,2874,27.9,4.6,17,0.259,0.0697,0.5,0,0,0,0,0,0,0.541,0.32,0.13,0.21,0.34,0,0,0,10.9,0.16,0.61,0.39,30.6,0.6387323943661971,-0.014450867052023121,-0.2005730659025788,-0.2016216216216216
