Month,WaterMonth,Flow_mean,Flow_min,Flow_max,Energy_max,Energy_min,Energy_mean,Power_max,Power_min,Power_mean,EFlowProportion_mean,GenerationProportion_mean,BypassProportion_mean,LowFlowShutoffProportion,HighHeadShutoffProportion,LowHeadShutoffProportion,CapFactor_mean,SpecificEnergy_mean
1,4,380.7,172.5,803.8,99550,15220,48520,133.8,20.45,65.22,0.23,0.78,0.22,0,0.0043,0,0.36,46.8
2,5,751.6,238.3,1628,124200,23190,81250,184.8,34.5,120,0.16,0.82,0.18,0,0,0,0.67,46.1
3,6,1334,439,2556,141500,53680,116000,190.1,72.15,155.9,0.13,0.72,0.28,0,0,0,0.87,36.8
4,7,1876,430.3,3539,136600,47470,112700,189.8,65.94,156.5,0.11,0.61,0.39,0,0,0,0.87,28.7
5,8,1465,293.2,2750,134700,24170,111000,181,32.49,149.2,0.18,0.66,0.34,0,0,0,0.83,32.7
6,9,789.2,201.3,1453,125300,5879,85440,174.1,8.166,118.7,0.23,0.76,0.24,0,0.021,0,0.66,41.6
7,10,490.5,154.9,768.9,81870,0,51570,110,0,69.31,0.35,0.65,0.35,0.02,0.032,0,0.39,37.9
8,11,332,121.1,497.8,49820,0,30380,66.96,0,40.83,0.43,0.56,0.44,0.045,0.07,0,0.23,32.2
9,12,234,89.34,346.5,33090,0,20140,45.95,0,27.98,0.45,0.53,0.47,0.066,0.057,0,0.16,31.4
10,1,182.7,73.65,258.9,24790,0,15570,33.32,0,20.92,0.43,0.54,0.46,0.079,0.1,0,0.12,30.1
11,2,185,94.36,251.1,25580,675.2,18630,35.53,0.9378,25.87,0.36,0.63,0.37,0.032,0.04,0,0.14,37.9
12,3,230.7,129.7,340,43130,11250,28130,57.96,15.12,37.81,0.28,0.72,0.28,0,0.0011,0,0.21,44.9
